Tr0 = Tr{Luzula_novaecambriae, Luzula_purpureosplendens, Luzula_multiflora : S1}
Tr1 = Tr{Luzula_novaecambriae, Luzula_multiflora, Luzula_nivea : S2}
Tr2 = Tr{Luzula_novaecambriae, Luzula_purpureosplendens, Luzula_nivea : S1}
Tr3 = Tr{Luzula_novaecambriae, Distichia_acicularis, Juncus_kraussii : S1}
Tr4 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Juncus_kraussii : S1}
Tr5 = Tr{Luzula_novaecambriae, Juncus_kraussii, Marsippospermum_grandiflorum : S2}
Tr6 = Tr{Luzula_novaecambriae, Juncus_kraussii, Juncus_trifidus : S2}
Tr7 = Tr{Luzula_novaecambriae, Juncus_effusus, Juncus_kraussii : S1}
Tr8 = Tr{Luzula_novaecambriae, Juncus_kraussii, Juncus_vaginatus : S2}
Tr9 = Tr{Luzula_novaecambriae, Juncus_kraussii, Oxychloe_andina : S2}
Tr10 = Tr{Luzula_novaecambriae, Juncus_kraussii, Scirpus_polystachyus : S2}
Tr11 = Tr{Luzula_novaecambriae, Carex_monostachya, Juncus_kraussii : S1}
Tr12 = Tr{Luzula_novaecambriae, Cyperus_involucratus, Juncus_kraussii : S1}
Tr13 = Tr{Luzula_novaecambriae, Isolepis_nodosa, Juncus_kraussii : S1}
Tr14 = Tr{Luzula_novaecambriae, Juncus_kraussii, Rhynchospora_nervosa : S2}
Tr15 = Tr{Luzula_novaecambriae, Juncus_kraussii, Becquerelia_cymosa : S2}
Tr16 = Tr{Luzula_novaecambriae, Juncus_kraussii, Coleochloa_abyssinica : S2}
Tr17 = Tr{Luzula_novaecambriae, Juncus_kraussii, Hypolytrum_nemorum : S2}
Tr18 = Tr{Luzula_novaecambriae, Juncus_kraussii, Prionium_serratum : S2}
Tr19 = Tr{Luzula_novaecambriae, Distichia_acicularis, Marsippospermum_grandiflorum : S1}
Tr20 = Tr{Luzula_novaecambriae, Distichia_acicularis, Juncus_trifidus : S2}
Tr21 = Tr{Luzula_novaecambriae, Juncus_effusus, Distichia_acicularis : S1}
Tr22 = Tr{Luzula_novaecambriae, Distichia_acicularis, Juncus_vaginatus : S2}
Tr23 = Tr{Luzula_novaecambriae, Distichia_acicularis, Oxychloe_andina : S2}
Tr24 = Tr{Luzula_novaecambriae, Distichia_acicularis, Scirpus_polystachyus : S2}
Tr25 = Tr{Luzula_novaecambriae, Distichia_acicularis, Carex_monostachya : S2}
Tr26 = Tr{Luzula_novaecambriae, Cyperus_involucratus, Distichia_acicularis : S1}
Tr27 = Tr{Luzula_novaecambriae, Cyperus_papyrus, Distichia_acicularis : S1}
Tr28 = Tr{Luzula_novaecambriae, Isolepis_nodosa, Distichia_acicularis : S1}
Tr29 = Tr{Luzula_novaecambriae, Distichia_acicularis, Rhynchospora_nervosa : S2}
Tr30 = Tr{Luzula_novaecambriae, Distichia_acicularis, Becquerelia_cymosa : S2}
Tr31 = Tr{Luzula_novaecambriae, Distichia_acicularis, Coleochloa_abyssinica : S2}
Tr32 = Tr{Luzula_novaecambriae, Distichia_acicularis, Hypolytrum_nemorum : S2}
Tr33 = Tr{Luzula_novaecambriae, Distichia_acicularis, Prionium_serratum : S2}
Tr34 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Juncus_trifidus : S2}
Tr35 = Tr{Luzula_novaecambriae, Juncus_effusus, Rostkovia_magellanica : S1}
Tr36 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Juncus_vaginatus : S2}
Tr37 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Oxychloe_andina : S2}
Tr38 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Scirpus_polystachyus : S2}
Tr39 = Tr{Luzula_novaecambriae, Carex_monostachya, Rostkovia_magellanica : S1}
Tr40 = Tr{Luzula_novaecambriae, Cyperus_involucratus, Rostkovia_magellanica : S1}
Tr41 = Tr{Luzula_novaecambriae, Cyperus_papyrus, Rostkovia_magellanica : S1}
Tr42 = Tr{Luzula_novaecambriae, Isolepis_nodosa, Rostkovia_magellanica : S1}
Tr43 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Rhynchospora_nervosa : S2}
Tr44 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Becquerelia_cymosa : S2}
Tr45 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Coleochloa_abyssinica : S2}
Tr46 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Hypolytrum_nemorum : S2}
Tr47 = Tr{Luzula_novaecambriae, Rostkovia_magellanica, Prionium_serratum : S2}
Tr48 = Tr{Luzula_novaecambriae, Juncus_trifidus, Marsippospermum_grandiflorum : S1}
Tr49 = Tr{Luzula_novaecambriae, Juncus_effusus, Marsippospermum_grandiflorum : S1}
Tr50 = Tr{Luzula_novaecambriae, Juncus_vaginatus, Marsippospermum_grandiflorum : S1}
Tr51 = Tr{Luzula_novaecambriae, Marsippospermum_grandiflorum, Oxychloe_andina : S2}
Tr52 = Tr{Luzula_novaecambriae, Scirpus_polystachyus, Marsippospermum_grandiflorum : S1}
Tr53 = Tr{Luzula_novaecambriae, Carex_monostachya, Marsippospermum_grandiflorum : S1}
Tr54 = Tr{Luzula_novaecambriae, Cyperus_involucratus, Marsippospermum_grandiflorum : S1}
Tr55 = Tr{Luzula_novaecambriae, Cyperus_papyrus, Marsippospermum_grandiflorum : S1}
Tr56 = Tr{Luzula_novaecambriae, Isolepis_nodosa, Marsippospermum_grandiflorum : S1}
Tr57 = Tr{Luzula_novaecambriae, Rhynchospora_nervosa, Marsippospermum_grandiflorum : S1}
Tr58 = Tr{Luzula_novaecambriae, Marsippospermum_grandiflorum, Becquerelia_cymosa : S2}
Tr59 = Tr{Luzula_novaecambriae, Coleochloa_abyssinica, Marsippospermum_grandiflorum : S1}
Tr60 = Tr{Luzula_novaecambriae, Marsippospermum_grandiflorum, Hypolytrum_nemorum : S2}
Tr61 = Tr{Luzula_novaecambriae, Marsippospermum_grandiflorum, Prionium_serratum : S2}
Tr62 = Tr{Luzula_novaecambriae, Juncus_effusus, Juncus_trifidus : S1}
Tr63 = Tr{Luzula_novaecambriae, Juncus_vaginatus, Juncus_trifidus : S1}
Tr64 = Tr{Luzula_novaecambriae, Juncus_trifidus, Oxychloe_andina : S2}
Tr65 = Tr{Luzula_novaecambriae, Juncus_trifidus, Scirpus_polystachyus : S2}
Tr66 = Tr{Luzula_novaecambriae, Carex_monostachya, Juncus_trifidus : S1}
Tr67 = Tr{Luzula_novaecambriae, Cyperus_involucratus, Juncus_trifidus : S1}
Tr68 = Tr{Luzula_novaecambriae, Cyperus_papyrus, Juncus_trifidus : S1}
Tr69 = Tr{Luzula_novaecambriae, Isolepis_nodosa, Juncus_trifidus : S1}
Tr70 = Tr{Luzula_novaecambriae, Rhynchospora_nervosa, Juncus_trifidus : S1}
Tr71 = Tr{Luzula_novaecambriae, Juncus_trifidus, Becquerelia_cymosa : S2}
Tr72 = Tr{Luzula_novaecambriae, Juncus_trifidus, Coleochloa_abyssinica : S2}
Tr73 = Tr{Luzula_novaecambriae, Juncus_trifidus, Hypolytrum_nemorum : S2}
Tr74 = Tr{Luzula_novaecambriae, Juncus_trifidus, Prionium_serratum : S2}
Tr75 = Tr{Luzula_novaecambriae, Juncus_effusus, Oxychloe_andina : S2}
Tr76 = Tr{Luzula_novaecambriae, Juncus_effusus, Carex_monostachya : S2}
Tr77 = Tr{Luzula_novaecambriae, Cyperus_involucratus, Juncus_effusus : S1}
Tr78 = Tr{Luzula_novaecambriae, Juncus_effusus, Coleochloa_abyssinica : S2}
Tr79 = Tr{Luzula_novaecambriae, Juncus_effusus, Hypolytrum_nemorum : S2}
Tr80 = Tr{Luzula_novaecambriae, Juncus_effusus, Prionium_serratum : S2}
Tr81 = Tr{Luzula_novaecambriae, Juncus_vaginatus, Oxychloe_andina : S2}
Tr82 = Tr{Juncus_vaginatus, Luzula_novaecambriae, Becquerelia_cymosa : S2}
Tr83 = Tr{Luzula_novaecambriae, Juncus_vaginatus, Hypolytrum_nemorum : S2}
Tr84 = Tr{Luzula_novaecambriae, Juncus_vaginatus, Prionium_serratum : S2}
Tr85 = Tr{Luzula_novaecambriae, Scirpus_polystachyus, Oxychloe_andina : S1}
Tr86 = Tr{Luzula_novaecambriae, Carex_monostachya, Oxychloe_andina : S1}
Tr87 = Tr{Luzula_novaecambriae, Cyperus_involucratus, Oxychloe_andina : S1}
Tr88 = Tr{Luzula_novaecambriae, Cyperus_papyrus, Oxychloe_andina : S1}
Tr89 = Tr{Luzula_novaecambriae, Isolepis_nodosa, Oxychloe_andina : S1}
Tr90 = Tr{Luzula_novaecambriae, Rhynchospora_nervosa, Oxychloe_andina : S1}
Tr91 = Tr{Luzula_novaecambriae, Becquerelia_cymosa, Oxychloe_andina : S1}
Tr92 = Tr{Luzula_novaecambriae, Coleochloa_abyssinica, Oxychloe_andina : S1}
Tr93 = Tr{Luzula_novaecambriae, Hypolytrum_nemorum, Oxychloe_andina : S1}
Tr94 = Tr{Luzula_novaecambriae, Prionium_serratum, Oxychloe_andina : S1}
Tr95 = Tr{Luzula_novaecambriae, Cyperus_involucratus, Scirpus_polystachyus : S1}
Tr96 = Tr{Luzula_novaecambriae, Cyperus_papyrus, Scirpus_polystachyus : S1}
Tr97 = Tr{Luzula_novaecambriae, Rhynchospora_nervosa, Scirpus_polystachyus : S1}
Tr98 = Tr{Luzula_novaecambriae, Scirpus_polystachyus, Becquerelia_cymosa : S2}
Tr99 = Tr{Luzula_novaecambriae, Scirpus_polystachyus, Prionium_serratum : S2}
Tr100 = Tr{Luzula_novaecambriae, Cyperus_involucratus, Carex_monostachya : S1}
Tr101 = Tr{Luzula_novaecambriae, Carex_monostachya, Rhynchospora_nervosa : S2}
